	2459
二字	566
信以为真	4463
启动	6783
青丝	1805
交换意见	5527
领养	5627
热	1815
寻求	3555
鼻梁	3629
讨厌	1412
曾用名	3270
倒立	6467
孙悟空	948
解散	563
走心	6513
嘴上	1207
不好受	953
脸上	1210
羽绒服	1753
国家大事	6248
唯	5160
升级	5628
小狗	498
摔破	1866
慌	2037
解放	6582
烦烦	1622
70	4269
表哥	4281
公约	692
能不能	807
几乎	1508
海拉尔	5979
死	449
何方	3767
短暂	596
受罪	1929
电话号码	2526
人家	1329
掩护	579
人害	1373
接	1351
搭档	5035
背诗	5794
纤细	3552
带给	593
薯条	5045
污染	4038
收	2813
类型	4632
挺	323
织	2967
广场舞	2062
东北话	5684
门口	4495
拿来	1706
可乐	5044
快完了	747
请求	5207
短	3503
新加坡	5676
屋子	2053
发慌	2098
摇滚乐	4626
包	1450
就寝	3907
首都北京	4931
经常	863
准备就绪	3437
厚	2684
脑子	1710
危害	3130
嫌疑人	6239
都会	1035
放肆	6516
朋友圈	1617
插嘴	430
给你一千万	5797
写文章	3829
艰辛	3855
终于	527
小聪明	6129
钟情	5069
住在一起	3478
治疗	1193
地铁站	4017
可以	296
叮咚	6220
老爸	3485
影评	6400
全民	3121
发射成功	2973
钟意	4165
发怒	1790
报	2984
对于	1541
对了	2722
遥远	4777
全月	525
pk	2325
道理	5216
提前	2535
记忆犹新	5166
十几斤	2978
自由人	2247
小琳	3371
工地	2078
四大名著	52
陆游	6587
辛亥年	4110
吃货	6297
发脾气	1204
想想	3841
惹	149
ohmygod	6750
不介意	4708
走霉运	1829
舞台剧	4797
性别	3971
女儿	3047
岿然不动	2292
完成	561
干的車	5066
只能	1111
陕西	3763
外国人	3307
吃不上	2384
后面	2002
零钱	4487
不得了	2659
猜字谜	5576
四人座	4258
客厅	6100
着急	1928
代码	5677
天安门广场	6182
我们家	2987
跆拳道	6500
猫	511
生日惊喜	5282
最能	4408
每天晚上	1293
欲望	1973
悬崖	6275
发挥	2904
落幕	2975
晒晒	5771
阿里	5332
发指	2749
抓狂	1699
人妖	5039
款	3329
有点烦	6032
你怎么看	17
录音	3973
唱歌跳舞	5907
时常	5520
考成	2266
杯水	1919
鼻涕	1107
英国	3325
电视剧	4582
愤怒	1789
逛逛	2040
过多	3207
气疯	1521
不想回家	5862
社交	3672
过头	2743
过失	143
紫烟	5775
流个	1108
公务员	2970
家伙	2649
主	5165
无所不能	2940
设备	4010
睁	6002
外太空	6745
渴不渴	6685
等	590
不出口	854
钱包	1371
磨蹭	5486
空调	1954
已	657
绯闻	5201
忧愁	1499
爆表	3060
聊下天	808
家人	1722
听力	282
和我跳舞	4544
钞票	4488
社会	2219
钓鱼	5764
吹牛	871
伴侣	5991
找人	791
首谈	6637
顿时	6322
小宝宝	3043
女友	4542
单独	5225
提倡	3120
活动	624
杠	3057
天花板	1054
懒得	2916
源于	3324
稀饭	4806
腰伤	1266
产生的	4739
谦虚	2584
姥姥	4267
脏	3708
你一直在	4083
动物	4405
晚餐	4815
喝水	982
挣	6774
发抖	1746
人堆	3968
男女之间	5027
扩展	5827
交流	3877
尴尬	3667
听到	290
家乡	3464
活到	6847
水表	5856
痊愈	3742
听的歌	4954
每年	5429
影响	1583
晚饭	1212
有没有	42
卤蛋	5362
踢球	5177
试试	3794
超级	1464
好痛	883
声太	3989
游子	3777
无趣	5573
赖床	1400
必将	2650
苍天	4858
用起	2470
早起	6097
体温	1148
认出	3959
男子汉	4766
抽泣	3844
淘宝	4100
入迷	5114
划算	6476
表弟	4224
我的名字	4294
电影	45
议论	4103
奶茶婊	6283
放	1439
影子	2051
走向	4389
害怕	2096
好空	1695
名讳	5454
相亲	2422
不害羞	3653
怎么着	6268
功能强大	3328
相互	788
时候	587
美丽的人	5564
唉	2146
我牙肿	1075
哈哈	4866
享受	3714
大米	4155
妈妈是什么	4270
气管	3134
我们见过吗	5467
孩子	392
礼貌	326
泰剧	4706
马甲	3624
红润	3362
画画	3450
哈	2880
你们	662
卖出	2961
口水	979
动动脑	4020
别怪	2021
差	1591
俺	4292
分析	5830
谋面	5441
音乐会	5099
相信	1381
三角恋	635
甄嬛	6583
羽毛球	4918
舞起来	4550
好笑	198
伤	1820
经历	4099
地点	588
徐老板	6793
见到	727
未必	2623
心冷	3414
心凉	6766
干	159
猜猜	5938
苦恼	1492
式	6683
过关	1623
害羞脸红	3683
清纯	2848
第一句	4476
正能量	2440
冒充	6779
四级	2172
软件	10
哈哈哈	2839
嘟嘟	5449
帅	379
肯德基	6196
傲娇	6313
好久不见	5316
浴盆	3342
女性朋友	5016
真	147
睡着	3211
醒醒	5402
结婚证	3150
静静的	2126
脚长	3588
艰苦	3220
零食	5061
平俗	2790
一辈子	4166
有空	606
晕	1010
哈喽	5401
蠢萌	2889
领导	277
寝室	551
发泄	1803
特别	742
韩国片	4704
成	2246
一通	2275
浑身	996
声响	4062
房租	5337
值得	368
感人	1945
卖萌会	6610
喵	5719
切换	3331
练	3608
带点	3917
啊	34
行	24
低	1735
一道	2290
性差	2533
哟	1769
代	6459
活得	649
答题	1482
原来	2547
三百块	6507
啤酒	6687
飞车	6386
丝袜	6424
待见	4167
甲醛	6238
幽默感	5886
88	6799
不佳	1635
必应	5307
80	2430
鲁菜	5615
己	688
渣	1345
火大	1801
说说话	801
人工智能	3984
不住	962
重于	4366
王俊凯	5875
十年寒窗	2923
扩充	4360
或者	1839
搞搞	4834
球技	5180
最近	41
惆怅	1469
手对	3556
大姨妈	2150
口渴	1894
一日不见	5444
另外	2989
一部	5344
牙锥	1063
追求	5224
不会	260
温水	6559
蠢	2752
吃药	976
片儿	5151
下位	676
裸贷	6087
虎牙	1081
通过考核	3038
金榜题名	2930
显	4339
无事	6433
禅师	5512
告	4372
一周年	5855
油炸	1192
染	3500
心变	6168
怀孕	1406
胎记	3584
蔬菜	3088
不了	892
英雄传	5611
自食其果	2651
Siri	3970
人品	2785
动作游戏	5153
要脸	2671
威	6463
刚才	295
1.7	4375
造句	4361
好点没	3472
牟翠翠	6046
比旧	3803
小小的	4398
已经	581
生	2158
不久	3748
人名	4123
洗头	3510
面对面	5443
传统	6861
长生	3730
孤独	1725
台球	5541
其他人	6522
经典	5102
帅气	3633
分数	2155
结婚	2260
负担过重	1930
面前	474
慈爱	4274
不下	1433
间	6833
买卖	1317
沟通	876
哪个	35
痛风	912
过去	5331
林俊杰	6218
丑	2673
好撑啊	1423
哪一	4966
踏青	3235
变重	4385
胖子	1761
白开水	6867
分担	6273
咸鱼	2544
点子	3818
灵魂	1640
qq	4634
该	215
吹牛皮	6175
恨	2297
微积分	5801
必不可少	3558
饮	5715
完毕	3442
闲着	4716
落后	2600
哪人	3465
宝贝	4156
集聚	5428
卖萌	3862
题	214
定	6053
王思聪	6430
还用	4647
你爱他	2446
哪些	2629
谷歌	5876
渐窄	2316
只要	4473
身高体重	3617
一大跳	2192
手工	3825
脸型	3636
哪件	5776
一段时间	1616
分手	1387
衣	1760
整容	3962
板块	4734
使人	2599
成名曲	5118
起皮	1912
水汪汪	3530
闪到	1255
无能为力	1509
期待	2342
小米	1120
生日快乐	4416
没	111
垃圾处理	2820
她找我	6661
偶像	4239
咱	3292
麦克	4174
找工作	2223
车间	5976
呆	410
鱼眼	3524
是的	728
寻找	1816
每	2108
春节快乐	5377
某个	850
热衷于	4692
憎恶	4905
一面	5437
买到	2874
反恐精英	5883
此	3771
声去	5459
介绍	2033
哪位	3351
却	1813
就别	3545
千万别	641
喂喂	5405
书吧	6777
不	54
过分	2654
彭于晏	6744
无耻之徒	2745
臭不要脸	2675
我在这儿	4492
认	4466
留来	2450
签单	2944
下课	577
脚酸	911
注意	272
好美	3300
负责	5552
寄	6566
某人	4967
容光焕发	3364
糖	2863
灭亡	492
牛肉	5040
熟练	4407
翻译软件	2453
认同	3040
李宁	5453
圆周率	5868
刺激	1061
english	3881
国籍	3785
结局	6776
客官	4285
母校	6439
退下	701
事	137
刚染	4343
标志性	3927
累觉	6616
将	3773
新款	5051
羽毛	6594
窗户	3538
肿	885
整夜	1286
档次	2779
要萌	5833
胀气	955
舒服	879
敌人	500
希腊	6082
母案	5595
外星人	3991
整天	2611
隔壁	1857
第一名	2957
表妹	4211
腹部	968
能红	3846
植物	4970
夜的黑	5788
文艺	4581
骑马	6673
来源于	4882
你妹妹	4208
相比之下	5068
小水滴	4032
先来	6754
得病	5241
言情	5136
个伴	1728
娇羞	2853
村	4071
先有	5897
卑鄙龌龊	2746
各自	3320
胆小鬼	2559
带球	3045
土豪	4486
体检	4306
它	2693
女宝	5038
多话	837
退休	3479
承认	252
大吃一顿	1682
穿厚	1749
寻思	5523
跑调	6383
数学	6672
请来	2665
落地	914
睡会觉	3205
撑船	3721
偏好	4937
方便	810
资料	5531
得瑟	6000
小点声	6126
写诗	5971
宿舍	3191
昨天晚上	1292
急救	6276
海贼王	5780
左右为难	2476
耳朵	288
乳名	3266
牛排	4152
办	1476
方位	3930
骂人	1566
疑惑	2720
又	115
女子	6615
互相	2396
我有	485
尺寸	4310
熄灯	3908
斗地主	5685
一门	5547
女孩	3866
件	1999
史蒂夫	6234
